Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
12253,D,1,1,1,instructions,None,57,SPACE,stroop3.txt,10492,TRUE,
12253,D,1,2,2,practice,GREEN,0,Voice Response,BLUE,8014,TRUE,
12253,D,1,3,3,practice,RED,0,Voice Response,YELLOW,1670,TRUE,
12253,D,1,4,4,practice,YELLOW,0,Voice Response,GREEN,1172,TRUE,
12253,D,1,5,5,practice,BLUE,0,Voice Response,RED,1598,TRUE,
12253,D,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,3545,TRUE,
12253,D,1,7,7,practice,BLUE,0,Voice Response,GREEN,1221,TRUE,
12253,D,1,8,8,practice,YELLOW,0,Voice Response,RED,1111,TRUE,
12253,D,1,9,9,practice,GREEN,0,Voice Response,GREEN,2610,TRUE,
12253,D,1,10,10,practice,RED,0,Voice Response,BLUE,1218,TRUE,
12253,D,1,11,11,practice,BLUE,0,Voice Response,XXXXX,1412,TRUE,
12253,D,1,12,12,instructions,None,57,SPACE,stroop4.txt,19629,TRUE,
12253,D,1,13,13,Neutral,BLUE,0,Voice Response,XXXXX,1137,TRUE,
12253,D,1,14,14,Neutral,YELLOW,0,Voice Response,XXXXX,979,TRUE,
12253,D,1,15,15,Neutral,RED,0,Voice Response,XXXXX,1057,TRUE,
12253,D,1,16,16,Neutral,BLUE,0,Voice Response,XXXXX,985,TRUE,
12253,D,1,17,17,Incongruent,RED,0,Voice Response,GREEN,1276,TRUE,
12253,D,1,18,18,Incongruent,BLUE,0,Voice Response,YELLOW,993,TRUE,
12253,D,1,19,19,Incongruent,RED,0,Voice Response,GREEN,1046,TRUE,
12253,D,1,20,20,WC,GREEN,0,Voice Response,YELLOW,987,TRUE,
12253,D,1,21,21,Incongruent,RED,0,Voice Response,BLUE,1101,TRUE,
12253,D,1,22,22,Incongruent,YELLOW,0,Voice Response,GREEN,1034,TRUE,
12253,D,1,23,23,Double,GREEN,0,Voice Response,YELLOW,1047,TRUE,
12253,D,1,24,24,Neutral,RED,0,Voice Response,XXXXX,916,TRUE,
12253,D,1,25,25,Incongruent,GREEN,0,Voice Response,BLUE,1028,TRUE,
12253,D,1,26,26,Incongruent,RED,0,Voice Response,YELLOW,1047,TRUE,
12253,D,1,27,27,Double,YELLOW,0,Voice Response,RED,718,TRUE,
12253,D,1,28,28,Incongruent,GREEN,0,Voice Response,BLUE,985,TRUE,
12253,D,1,29,29,Neutral,RED,0,Voice Response,XXXXX,843,TRUE,
12253,D,1,30,30,Incongruent,YELLOW,0,Voice Response,GREEN,1175,TRUE,
12253,D,1,31,31,WC,GREEN,0,Voice Response,BLUE,1298,TRUE,
12253,D,1,32,32,Incongruent,RED,0,Voice Response,YELLOW,1034,TRUE,
12253,D,1,33,33,CW,GREEN,0,Voice Response,RED,1036,TRUE,
12253,D,1,34,34,Neutral,YELLOW,0,Voice Response,XXXXX,1038,TRUE,
12253,D,1,35,35,Neutral,BLUE,0,Voice Response,XXXXX,922,TRUE,
12253,D,1,36,36,Incongruent,RED,0,Voice Response,YELLOW,1016,TRUE,
12253,D,1,37,37,Incongruent,GREEN,0,Voice Response,BLUE,1166,TRUE,
12253,D,1,38,38,Incongruent,YELLOW,0,Voice Response,RED,974,TRUE,
12253,D,1,39,39,WC,RED,0,Voice Response,GREEN,1042,TRUE,
12253,D,1,40,40,Incongruent,BLUE,0,Voice Response,YELLOW,1856,TRUE,
12253,D,1,41,41,Incongruent,GREEN,0,Voice Response,RED,1055,TRUE,
12253,D,1,42,42,WC,RED,0,Voice Response,BLUE,785,TRUE,
12253,D,1,43,43,Neutral,YELLOW,0,Voice Response,XXXXX,792,TRUE,
12253,D,1,44,44,Incongruent,BLUE,0,Voice Response,RED,1285,TRUE,
12253,D,1,45,45,Double,RED,0,Voice Response,BLUE,1033,TRUE,
12253,D,1,46,46,Incongruent,GREEN,0,Voice Response,YELLOW,791,TRUE,
12253,D,1,47,47,Double,YELLOW,0,Voice Response,GREEN,981,TRUE,
12253,D,1,48,48,Incongruent,BLUE,0,Voice Response,RED,1593,TRUE,
12253,D,1,49,49,CW,YELLOW,0,Voice Response,BLUE,984,TRUE,
12253,D,1,50,50,Incongruent,GREEN,0,Voice Response,RED,792,TRUE,
12253,D,1,51,51,CW,BLUE,0,Voice Response,GREEN,983,TRUE,
12253,D,1,52,52,Incongruent,YELLOW,0,Voice Response,RED,1035,TRUE,
12253,D,1,53,53,CW,GREEN,0,Voice Response,YELLOW,974,TRUE,
12253,D,1,54,54,Incongruent,RED,0,Voice Response,BLUE,1357,TRUE,
12253,D,1,55,55,CW,YELLOW,0,Voice Response,RED,984,TRUE,
12253,D,1,56,56,Incongruent,BLUE,0,Voice Response,GREEN,1481,TRUE,
12253,D,1,57,57,WC,GREEN,0,Voice Response,YELLOW,825,TRUE,
12253,D,1,58,58,Incongruent,RED,0,Voice Response,BLUE,1175,TRUE,
12253,D,1,59,59,Incongruent,GREEN,0,Voice Response,YELLOW,1358,TRUE,
12253,D,1,60,60,Incongruent,RED,0,Voice Response,BLUE,1421,TRUE,
12253,D,1,61,61,Double,BLUE,0,Voice Response,RED,1416,TRUE,
12253,D,1,62,62,Neutral,GREEN,0,Voice Response,XXXXX,1277,TRUE,
12253,D,1,63,63,Block,None,57,SPACE,Press Spacebar,3766,TRUE,
12253,D,1,64,64,Neutral,YELLOW,0,Voice Response,XXXXX,2384,TRUE,
12253,D,1,65,65,Incongruent,BLUE,0,Voice Response,GREEN,1232,TRUE,
12253,D,1,66,66,CW,YELLOW,0,Voice Response,BLUE,1096,TRUE,
12253,D,1,67,67,Incongruent,GREEN,0,Voice Response,RED,986,TRUE,
12253,D,1,68,68,Double,RED,0,Voice Response,GREEN,1109,TRUE,
12253,D,1,69,69,Incongruent,BLUE,0,Voice Response,YELLOW,922,TRUE,
12253,D,1,70,70,Double,YELLOW,0,Voice Response,BLUE,980,TRUE,
12253,D,1,71,71,Incongruent,RED,0,Voice Response,GREEN,1032,TRUE,
12253,D,1,72,72,WC,GREEN,0,Voice Response,YELLOW,1470,TRUE,
12253,D,1,73,73,Incongruent,RED,0,Voice Response,BLUE,1173,TRUE,
12253,D,1,74,74,Double,BLUE,0,Voice Response,RED,1080,TRUE,
12253,D,1,75,75,Neutral,YELLOW,0,Voice Response,XXXXX,1233,TRUE,
12253,D,1,76,76,Neutral,BLUE,0,Voice Response,XXXXX,1310,TRUE,
12253,D,1,77,77,Incongruent,YELLOW,0,Voice Response,RED,1482,TRUE,
12253,D,1,78,78,Incongruent,BLUE,0,Voice Response,GREEN,1228,TRUE,
12253,D,1,79,79,Incongruent,RED,0,Voice Response,YELLOW,1047,TRUE,
12253,D,1,80,80,WC,YELLOW,0,Voice Response,BLUE,1531,TRUE,
12253,D,1,81,81,Incongruent,RED,0,Voice Response,GREEN,1106,TRUE,
12253,D,1,82,82,Double,GREEN,0,Voice Response,RED,1355,TRUE,
12253,D,1,83,83,Incongruent,BLUE,0,Voice Response,YELLOW,1164,TRUE,
12253,D,1,84,84,Incongruent,GREEN,0,Voice Response,RED,1226,TRUE,
12253,D,1,85,85,Incongruent,YELLOW,0,Voice Response,BLUE,1055,TRUE,
12253,D,1,86,86,Incongruent,RED,0,Voice Response,GREEN,980,TRUE,
12253,D,1,87,87,Neutral,BLUE,0,Voice Response,XXXXX,1032,TRUE,
12253,D,1,88,88,Neutral,YELLOW,0,Voice Response,XXXXX,983,TRUE,
12253,D,1,89,89,Incongruent,GREEN,0,Voice Response,RED,1034,TRUE,
12253,D,1,90,90,Incongruent,YELLOW,0,Voice Response,BLUE,1036,TRUE,
12253,D,1,91,91,WC,BLUE,0,Voice Response,GREEN,1230,TRUE,
12253,D,1,92,92,Incongruent,YELLOW,0,Voice Response,RED,1154,TRUE,
12253,D,1,93,93,WC,RED,0,Voice Response,BLUE,1233,TRUE,
