Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
11055,1,1,1,1,instructions,None,252,MOUSE-L,stroop3.txt,29377,FALSE,
11055,1,1,2,2,practice,GREEN,0,Voice Response,BLUE,975,TRUE,
11055,1,1,3,3,practice,RED,0,Voice Response,YELLOW,918,TRUE,
11055,1,1,4,4,practice,YELLOW,0,Voice Response,GREEN,850,TRUE,
11055,1,1,5,5,practice,BLUE,0,Voice Response,RED,849,TRUE,
11055,1,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,909,TRUE,
11055,1,1,7,7,practice,BLUE,0,Voice Response,GREEN,847,TRUE,
11055,1,1,8,8,practice,YELLOW,0,Voice Response,RED,802,TRUE,
11055,1,1,9,9,practice,GREEN,0,Voice Response,GREEN,971,TRUE,
11055,1,1,10,10,practice,RED,0,Voice Response,BLUE,792,TRUE,
11055,1,1,11,11,practice,BLUE,0,Voice Response,XXXXX,788,TRUE,
11055,1,1,12,12,instructions,None,57,SPACE,stroop4.txt,4652,TRUE,
11055,1,1,1,13,Neutral,BLUE,0,Voice Response,XXXXX,746,TRUE,
11055,1,1,2,14,Conflict,GREEN,0,Voice Response,RED,790,TRUE,
11055,1,1,3,15,NegativePrime,RED,0,Voice Response,BLUE,794,TRUE,
11055,1,1,4,16,Conflict,RED,0,Voice Response,GREEN,859,TRUE,
11055,1,1,5,17,Conflict,YELLOW,0,Voice Response,BLUE,726,TRUE,
11055,1,1,6,18,Neutral,YELLOW,0,Voice Response,XXXXX,736,TRUE,
11055,1,1,7,19,Neutral,BLUE,0,Voice Response,XXXXX,719,TRUE,
11055,1,1,8,20,Conflict,RED,0,Voice Response,BLUE,789,TRUE,
11055,1,1,9,21,NegativePrime,BLUE,0,Voice Response,YELLOW,784,TRUE,
11055,1,1,10,22,Conflict,BLUE,0,Voice Response,GREEN,727,TRUE,
11055,1,1,11,23,NegativePrime,GREEN,0,Voice Response,RED,797,TRUE,
11055,1,1,12,24,Neutral,BLUE,0,Voice Response,XXXXX,791,TRUE,
11055,1,1,13,25,Conflict,BLUE,0,Voice Response,YELLOW,857,TRUE,
11055,1,1,14,26,Conflict,GREEN,0,Voice Response,RED,855,TRUE,
11055,1,1,15,27,Conflict,YELLOW,0,Voice Response,GREEN,782,TRUE,
11055,1,1,16,28,Conflict,RED,0,Voice Response,YELLOW,726,TRUE,
11055,1,1,17,29,Conflict,GREEN,0,Voice Response,BLUE,786,TRUE,
11055,1,1,18,30,NegativePrime,BLUE,0,Voice Response,RED,669,TRUE,
11055,1,1,19,31,Conflict,YELLOW,0,Voice Response,GREEN,779,TRUE,
11055,1,1,20,32,NegativePrime,GREEN,0,Voice Response,BLUE,800,TRUE,
11055,1,1,21,33,Conflict,RED,0,Voice Response,YELLOW,788,TRUE,
11055,1,1,22,34,NegativePrime,YELLOW,0,Voice Response,GREEN,782,TRUE,
11055,1,1,23,35,Conflict,BLUE,0,Voice Response,RED,802,TRUE,
11055,1,1,24,36,NegativePrime,RED,0,Voice Response,YELLOW,912,TRUE,
11055,1,1,25,37,Conflict,GREEN,0,Voice Response,BLUE,790,TRUE,
11055,1,1,26,38,NegativePrime,BLUE,0,Voice Response,YELLOW,733,TRUE,
11055,1,1,27,39,Conflict,BLUE,0,Voice Response,GREEN,777,TRUE,
11055,1,1,28,40,Conflict,YELLOW,0,Voice Response,RED,798,TRUE,
11055,1,1,29,41,Conflict,YELLOW,0,Voice Response,BLUE,731,TRUE,
11055,1,1,30,42,Conflict,YELLOW,0,Voice Response,GREEN,679,TRUE,
11055,1,1,31,43,Neutral,RED,0,Voice Response,XXXXX,790,TRUE,
11055,1,1,32,44,Conflict,RED,0,Voice Response,YELLOW,795,TRUE,
11055,1,1,33,45,NegativePrime,YELLOW,0,Voice Response,GREEN,798,TRUE,
11055,1,1,34,46,Conflict,BLUE,0,Voice Response,YELLOW,776,TRUE,
11055,1,1,35,47,NegativePrime,YELLOW,0,Voice Response,RED,841,TRUE,
11055,1,1,36,48,Conflict,BLUE,0,Voice Response,GREEN,856,TRUE,
11055,1,1,37,49,Conflict,RED,0,Voice Response,BLUE,784,TRUE,
11055,1,1,38,50,Conflict,GREEN,0,Voice Response,RED,788,TRUE,
11055,1,1,39,51,Conflict,GREEN,0,Voice Response,YELLOW,792,TRUE,
11055,1,1,40,52,Neutral,GREEN,0,Voice Response,XXXXX,786,TRUE,
