Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
11026,1,1,1,1,instructions,None,57,SPACE,stroop3.txt,83632,TRUE,
11026,1,1,2,2,practice,GREEN,0,Voice Response,BLUE,5366,TRUE,
11026,1,1,3,3,practice,RED,0,Voice Response,YELLOW,1241,TRUE,
11026,1,1,4,4,practice,YELLOW,0,Voice Response,GREEN,985,TRUE,
11026,1,1,5,5,practice,BLUE,0,Voice Response,RED,922,TRUE,
11026,1,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,925,TRUE,
11026,1,1,7,7,practice,BLUE,0,Voice Response,GREEN,869,TRUE,
11026,1,1,8,8,practice,YELLOW,0,Voice Response,RED,985,TRUE,
11026,1,1,9,9,practice,GREEN,0,Voice Response,GREEN,729,TRUE,
11026,1,1,10,10,practice,RED,0,Voice Response,BLUE,1187,TRUE,
11026,1,1,11,11,practice,BLUE,0,Voice Response,XXXXX,923,TRUE,
11026,1,1,12,12,instructions,None,57,SPACE,stroop4.txt,22137,TRUE,
11026,1,1,1,13,Neutral,RED,0,Voice Response,XXXXX,1026,TRUE,
11026,1,1,2,14,Neutral,BLUE,0,Voice Response,XXXXX,862,TRUE,
11026,1,1,3,15,Conflict,BLUE,0,Voice Response,RED,1054,TRUE,
11026,1,1,4,16,NegativePrime,RED,0,Voice Response,YELLOW,863,TRUE,
11026,1,1,5,17,Neutral,GREEN,0,Voice Response,XXXXX,933,TRUE,
11026,1,1,6,18,Conflict,BLUE,0,Voice Response,RED,924,TRUE,
11026,1,1,7,19,NegativePrime,RED,0,Voice Response,YELLOW,866,TRUE,
11026,1,1,8,20,Neutral,GREEN,0,Voice Response,XXXXX,791,TRUE,
11026,1,1,9,21,Conflict,BLUE,0,Voice Response,YELLOW,805,TRUE,
11026,1,1,10,22,NegativePrime,YELLOW,0,Voice Response,RED,866,TRUE,
11026,1,1,11,23,Conflict,YELLOW,0,Voice Response,GREEN,923,TRUE,
11026,1,1,12,24,Conflict,YELLOW,0,Voice Response,RED,795,TRUE,
11026,1,1,13,25,Conflict,YELLOW,0,Voice Response,BLUE,748,TRUE,
11026,1,1,14,26,NegativePrime,BLUE,0,Voice Response,GREEN,794,TRUE,
11026,1,1,15,27,Conflict,BLUE,0,Voice Response,RED,808,TRUE,
11026,1,1,16,28,Conflict,BLUE,0,Voice Response,GREEN,869,TRUE,
11026,1,1,17,29,Conflict,BLUE,0,Voice Response,YELLOW,732,TRUE,
11026,1,1,18,30,NegativePrime,YELLOW,0,Voice Response,RED,800,TRUE,
11026,1,1,19,31,Conflict,GREEN,0,Voice Response,BLUE,1167,TRUE,
11026,1,1,20,32,Conflict,RED,0,Voice Response,GREEN,992,TRUE,
11026,1,1,21,33,Conflict,BLUE,0,Voice Response,RED,868,TRUE,
11026,1,1,22,34,Conflict,BLUE,0,Voice Response,YELLOW,864,TRUE,
