Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
11082,1,1,1,1,instructions,None,252,MOUSE-L,stroop3.txt,6930,FALSE,
11082,1,1,2,2,practice,GREEN,0,Voice Response,BLUE,1112,TRUE,
11082,1,1,3,3,practice,RED,0,Voice Response,YELLOW,1481,TRUE,
11082,1,1,4,4,practice,YELLOW,0,Voice Response,GREEN,847,TRUE,
11082,1,1,5,5,practice,BLUE,0,Voice Response,RED,863,TRUE,
11082,1,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,922,TRUE,
11082,1,1,7,7,practice,BLUE,0,Voice Response,GREEN,988,TRUE,
11082,1,1,8,8,practice,YELLOW,0,Voice Response,RED,852,TRUE,
11082,1,1,9,9,practice,GREEN,0,Voice Response,GREEN,1096,TRUE,
11082,1,1,10,10,practice,RED,0,Voice Response,BLUE,861,TRUE,
11082,1,1,11,11,practice,BLUE,0,Voice Response,XXXXX,860,TRUE,
11082,1,1,12,12,instructions,None,57,SPACE,stroop4.txt,19704,TRUE,
11082,1,1,1,13,Neutral,BLUE,0,Voice Response,XXXXX,815,TRUE,
11082,1,1,2,14,Conflict,RED,0,Voice Response,GREEN,847,TRUE,
11082,1,1,3,15,Conflict,BLUE,0,Voice Response,YELLOW,984,TRUE,
11082,1,1,4,16,Conflict,GREEN,0,Voice Response,BLUE,779,TRUE,
11082,1,1,5,17,NegativePrime,BLUE,0,Voice Response,RED,921,TRUE,
11082,1,1,6,18,Conflict,GREEN,0,Voice Response,YELLOW,1230,TRUE,
11082,1,1,7,19,Conflict,GREEN,0,Voice Response,RED,1361,TRUE,
11082,1,1,8,20,Conflict,BLUE,0,Voice Response,YELLOW,800,TRUE,
11082,1,1,9,21,Conflict,RED,0,Voice Response,GREEN,776,TRUE,
11082,1,1,10,22,Conflict,BLUE,0,Voice Response,RED,665,TRUE,
11082,1,1,11,23,NegativePrime,RED,0,Voice Response,GREEN,740,TRUE,
11082,1,1,12,24,Conflict,RED,0,Voice Response,BLUE,795,TRUE,
11082,1,1,13,25,NegativePrime,BLUE,0,Voice Response,YELLOW,728,TRUE,
11082,1,1,14,26,Conflict,RED,0,Voice Response,GREEN,982,TRUE,
11082,1,1,15,27,NegativePrime,GREEN,0,Voice Response,BLUE,909,TRUE,
11082,1,1,16,28,Neutral,GREEN,0,Voice Response,XXXXX,796,TRUE,
11082,1,1,17,29,Conflict,RED,0,Voice Response,YELLOW,852,TRUE,
11082,1,1,18,30,NegativePrime,YELLOW,0,Voice Response,BLUE,849,TRUE,
11082,1,1,19,31,Neutral,YELLOW,0,Voice Response,XXXXX,727,TRUE,
11082,1,1,20,32,Conflict,YELLOW,0,Voice Response,RED,727,TRUE,
11082,1,1,21,33,NegativePrime,RED,0,Voice Response,BLUE,858,TRUE,
11082,1,1,22,34,Neutral,YELLOW,0,Voice Response,XXXXX,726,TRUE,
11082,1,1,23,35,Neutral,BLUE,0,Voice Response,XXXXX,734,TRUE,
11082,1,1,24,36,Neutral,GREEN,0,Voice Response,XXXXX,724,TRUE,
11082,1,1,25,37,Conflict,GREEN,0,Voice Response,RED,926,TRUE,
11082,1,1,26,38,NegativePrime,RED,0,Voice Response,YELLOW,919,TRUE,
11082,1,1,27,39,Conflict,BLUE,0,Voice Response,RED,912,TRUE,
11082,1,1,28,40,NegativePrime,RED,0,Voice Response,GREEN,800,TRUE,
11082,1,1,29,41,Conflict,YELLOW,0,Voice Response,RED,838,TRUE,
11082,1,1,30,42,Conflict,YELLOW,0,Voice Response,BLUE,670,TRUE,
11082,1,1,31,43,Neutral,GREEN,0,Voice Response,XXXXX,720,TRUE,
11082,1,1,32,44,Conflict,GREEN,0,Voice Response,YELLOW,853,TRUE,
11082,1,1,33,45,Conflict,BLUE,0,Voice Response,RED,911,TRUE,
11082,1,1,34,46,Conflict,YELLOW,0,Voice Response,BLUE,860,TRUE,
11082,1,1,35,47,Conflict,RED,0,Voice Response,YELLOW,788,TRUE,
11082,1,1,36,48,Conflict,RED,0,Voice Response,BLUE,600,TRUE,
11082,1,1,37,49,NegativePrime,BLUE,0,Voice Response,GREEN,788,TRUE,
11082,1,1,38,50,Neutral,RED,0,Voice Response,XXXXX,659,TRUE,
11082,1,1,39,51,Conflict,YELLOW,0,Voice Response,BLUE,796,TRUE,
11082,1,1,40,52,Conflict,GREEN,0,Voice Response,YELLOW,860,TRUE,
11082,1,1,41,53,Conflict,BLUE,0,Voice Response,GREEN,727,TRUE,
11082,1,1,42,54,Conflict,YELLOW,0,Voice Response,RED,859,TRUE,
11082,1,1,43,55,Neutral,GREEN,0,Voice Response,XXXXX,797,TRUE,
11082,1,1,44,56,Conflict,BLUE,0,Voice Response,GREEN,912,TRUE,
11082,1,1,45,57,NegativePrime,GREEN,0,Voice Response,YELLOW,861,TRUE,
11082,1,1,46,58,Conflict,RED,0,Voice Response,GREEN,860,TRUE,
11082,1,1,47,59,Conflict,YELLOW,0,Voice Response,BLUE,797,TRUE,
11082,1,1,48,60,Conflict,YELLOW,0,Voice Response,RED,791,TRUE,
11082,1,1,49,61,Conflict,BLUE,0,Voice Response,GREEN,918,TRUE,
11082,1,1,50,62,Neutral,BLUE,0,Voice Response,XXXXX,728,TRUE,
11082,1,1,51,63,Block,None,57,SPACE,Press Spacebar,11461,TRUE,
11082,1,1,52,64,Neutral,RED,0,Voice Response,XXXXX,801,TRUE,
11082,1,1,53,65,Neutral,BLUE,0,Voice Response,XXXXX,717,TRUE,
11082,1,1,54,66,Conflict,BLUE,0,Voice Response,RED,728,TRUE,
11082,1,1,55,67,NegativePrime,RED,0,Voice Response,YELLOW,728,TRUE,
11082,1,1,56,68,Neutral,GREEN,0,Voice Response,XXXXX,736,TRUE,
11082,1,1,57,69,Conflict,BLUE,0,Voice Response,RED,1096,TRUE,
11082,1,1,58,70,NegativePrime,RED,0,Voice Response,YELLOW,861,TRUE,
11082,1,1,59,71,Neutral,GREEN,0,Voice Response,XXXXX,1296,TRUE,
11082,1,1,60,72,Conflict,BLUE,0,Voice Response,YELLOW,1229,TRUE,
11082,1,1,61,73,NegativePrime,YELLOW,0,Voice Response,RED,921,TRUE,
11082,1,1,62,74,Conflict,YELLOW,0,Voice Response,GREEN,672,TRUE,
11082,1,1,63,75,Conflict,YELLOW,0,Voice Response,RED,782,TRUE,
11082,1,1,64,76,Conflict,YELLOW,0,Voice Response,BLUE,786,TRUE,
11082,1,1,65,77,NegativePrime,BLUE,0,Voice Response,GREEN,1216,TRUE,
11082,1,1,66,78,Conflict,BLUE,0,Voice Response,RED,788,TRUE,
11082,1,1,67,79,Conflict,BLUE,0,Voice Response,GREEN,660,TRUE,
11082,1,1,68,80,Conflict,BLUE,0,Voice Response,YELLOW,737,TRUE,
11082,1,1,69,81,NegativePrime,YELLOW,0,Voice Response,RED,852,TRUE,
11082,1,1,70,82,Conflict,GREEN,0,Voice Response,BLUE,1095,TRUE,
11082,1,1,71,83,Conflict,RED,0,Voice Response,GREEN,922,TRUE,
11082,1,1,72,84,Conflict,BLUE,0,Voice Response,RED,793,TRUE,
11082,1,1,73,85,Conflict,BLUE,0,Voice Response,YELLOW,786,TRUE,
11082,1,1,74,86,Conflict,RED,0,Voice Response,BLUE,1034,TRUE,
11082,1,1,75,87,NegativePrime,BLUE,0,Voice Response,YELLOW,868,TRUE,
11082,1,1,76,88,Conflict,RED,0,Voice Response,BLUE,639,TRUE,
