Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
12451,1,1,1,1,instructions,None,57,SPACE,stroop3.txt,5035,TRUE,
12451,1,1,2,2,practice,GREEN,0,Voice Response,BLUE,1087,TRUE,
12451,1,1,3,3,practice,RED,0,Voice Response,YELLOW,1050,TRUE,
12451,1,1,4,4,practice,YELLOW,0,Voice Response,GREEN,842,TRUE,
12451,1,1,5,5,practice,BLUE,0,Voice Response,RED,921,TRUE,
12451,1,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,855,TRUE,
12451,1,1,7,7,practice,BLUE,0,Voice Response,GREEN,858,TRUE,
12451,1,1,8,8,practice,YELLOW,0,Voice Response,RED,859,TRUE,
12451,1,1,9,9,practice,GREEN,0,Voice Response,GREEN,922,TRUE,
12451,1,1,10,10,practice,RED,0,Voice Response,BLUE,786,TRUE,
12451,1,1,11,11,practice,BLUE,0,Voice Response,XXXXX,795,TRUE,
12451,1,1,12,12,instructions,None,57,SPACE,stroop4.txt,6128,TRUE,
12451,1,1,13,13,Neutral,BLUE,0,Voice Response,XXXXX,840,TRUE,
12451,1,1,14,14,Incongruent,YELLOW,0,Voice Response,RED,797,TRUE,
12451,1,1,15,15,Incongruent,BLUE,0,Voice Response,GREEN,864,TRUE,
12451,1,1,16,16,Incongruent,YELLOW,0,Voice Response,RED,779,TRUE,
12451,1,1,17,17,CW,GREEN,0,Voice Response,YELLOW,1046,TRUE,
12451,1,1,18,18,Incongruent,BLUE,0,Voice Response,RED,987,TRUE,
12451,1,1,19,19,Incongruent,GREEN,0,Voice Response,YELLOW,987,TRUE,
12451,1,1,20,20,WC,YELLOW,0,Voice Response,BLUE,846,TRUE,
12451,1,1,21,21,Incongruent,GREEN,0,Voice Response,RED,986,TRUE,
12451,1,1,22,22,WC,RED,0,Voice Response,YELLOW,794,TRUE,
12451,1,1,23,23,Neutral,GREEN,0,Voice Response,XXXXX,862,TRUE,
12451,1,1,24,24,Incongruent,RED,0,Voice Response,BLUE,793,TRUE,
12451,1,1,25,25,WC,BLUE,0,Voice Response,GREEN,800,TRUE,
12451,1,1,26,26,Incongruent,YELLOW,0,Voice Response,RED,790,TRUE,
12451,1,1,27,27,Incongruent,BLUE,0,Voice Response,GREEN,787,TRUE,
12451,1,1,28,28,Incongruent,YELLOW,0,Voice Response,RED,794,TRUE,
12451,1,1,29,29,CW,GREEN,0,Voice Response,YELLOW,730,TRUE,
12451,1,1,30,30,Incongruent,RED,0,Voice Response,BLUE,804,TRUE,
12451,1,1,31,31,Incongruent,GREEN,0,Voice Response,YELLOW,795,TRUE,
12451,1,1,32,32,Neutral,BLUE,0,Voice Response,XXXXX,731,TRUE,
12451,1,1,33,33,Incongruent,GREEN,0,Voice Response,YELLOW,787,TRUE,
12451,1,1,34,34,Neutral,BLUE,0,Voice Response,XXXXX,725,TRUE,
12451,1,1,35,35,Incongruent,YELLOW,0,Voice Response,RED,736,TRUE,
12451,1,1,36,36,Double,RED,0,Voice Response,YELLOW,975,TRUE,
12451,1,1,37,37,Neutral,BLUE,0,Voice Response,XXXXX,851,TRUE,
12451,1,1,38,38,Incongruent,GREEN,0,Voice Response,RED,852,TRUE,
12451,1,1,39,39,WC,RED,0,Voice Response,YELLOW,855,TRUE,
12451,1,1,40,40,Incongruent,BLUE,0,Voice Response,GREEN,917,TRUE,
12451,1,1,41,41,Double,GREEN,0,Voice Response,BLUE,1095,TRUE,
12451,1,1,42,42,Incongruent,YELLOW,0,Voice Response,RED,743,TRUE,
12451,1,1,43,43,Double,RED,0,Voice Response,YELLOW,789,TRUE,
12451,1,1,44,44,Incongruent,BLUE,0,Voice Response,GREEN,796,TRUE,
12451,1,1,45,45,Double,GREEN,0,Voice Response,BLUE,865,TRUE,
12451,1,1,46,46,Neutral,YELLOW,0,Voice Response,XXXXX,840,TRUE,
12451,1,1,47,47,Neutral,RED,0,Voice Response,XXXXX,736,TRUE,
12451,1,1,48,48,Neutral,BLUE,0,Voice Response,XXXXX,855,TRUE,
