Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
12212,D,1,1,1,instructions,None,57,SPACE,stroop3.txt,7542,TRUE,
12212,D,1,2,2,practice,GREEN,0,Voice Response,BLUE,1638,TRUE,
12212,D,1,3,3,practice,RED,0,Voice Response,YELLOW,1291,TRUE,
12212,D,1,4,4,practice,YELLOW,0,Voice Response,GREEN,1164,TRUE,
12212,D,1,5,5,practice,BLUE,0,Voice Response,RED,2609,TRUE,
12212,D,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,1115,TRUE,
12212,D,1,7,7,practice,BLUE,0,Voice Response,GREEN,1466,TRUE,
12212,D,1,8,8,practice,YELLOW,0,Voice Response,RED,973,TRUE,
12212,D,1,9,9,practice,GREEN,0,Voice Response,GREEN,976,TRUE,
12212,D,1,10,10,practice,RED,0,Voice Response,BLUE,859,TRUE,
12212,D,1,11,11,practice,BLUE,0,Voice Response,XXXXX,919,TRUE,
12212,D,1,12,12,instructions,None,57,SPACE,stroop4.txt,3040,TRUE,
12212,D,1,13,13,Neutral,BLUE,0,Voice Response,XXXXX,976,TRUE,
12212,D,1,14,14,Incongruent,YELLOW,0,Voice Response,RED,1356,TRUE,
12212,D,1,15,15,Incongruent,BLUE,0,Voice Response,GREEN,1474,TRUE,
12212,D,1,16,16,Incongruent,YELLOW,0,Voice Response,RED,920,TRUE,
12212,D,1,17,17,CW,GREEN,0,Voice Response,YELLOW,974,TRUE,
12212,D,1,18,18,Incongruent,BLUE,0,Voice Response,RED,917,TRUE,
12212,D,1,19,19,Incongruent,GREEN,0,Voice Response,YELLOW,910,TRUE,
12212,D,1,20,20,WC,YELLOW,0,Voice Response,BLUE,980,TRUE,
12212,D,1,21,21,Incongruent,GREEN,0,Voice Response,RED,863,TRUE,
12212,D,1,22,22,WC,RED,0,Voice Response,YELLOW,1044,TRUE,
12212,D,1,23,23,Neutral,GREEN,0,Voice Response,XXXXX,1053,TRUE,
12212,D,1,24,24,Incongruent,RED,0,Voice Response,BLUE,1096,TRUE,
12212,D,1,25,25,WC,BLUE,0,Voice Response,GREEN,984,TRUE,
12212,D,1,26,26,Incongruent,YELLOW,0,Voice Response,RED,787,TRUE,
12212,D,1,27,27,Incongruent,BLUE,0,Voice Response,GREEN,1280,TRUE,
12212,D,1,28,28,Incongruent,YELLOW,0,Voice Response,RED,984,TRUE,
