Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
12277,C,1,1,1,instructions,None,57,SPACE,stroop3.txt,19571,TRUE,
12277,C,1,2,2,practice,GREEN,0,Voice Response,BLUE,1251,TRUE,
12277,C,1,3,3,practice,RED,0,Voice Response,YELLOW,1108,TRUE,
12277,C,1,4,4,practice,YELLOW,0,Voice Response,GREEN,983,TRUE,
12277,C,1,5,5,practice,BLUE,0,Voice Response,RED,973,TRUE,
12277,C,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,919,TRUE,
12277,C,1,7,7,practice,BLUE,0,Voice Response,GREEN,915,TRUE,
12277,C,1,8,8,practice,YELLOW,0,Voice Response,RED,912,TRUE,
12277,C,1,9,9,practice,GREEN,0,Voice Response,GREEN,4297,TRUE,
12277,C,1,10,10,practice,RED,0,Voice Response,BLUE,1043,TRUE,
12277,C,1,11,11,practice,BLUE,0,Voice Response,XXXXX,985,TRUE,
12277,C,1,12,12,instructions,None,57,SPACE,stroop4.txt,21150,TRUE,
12277,C,1,13,13,Neutral,YELLOW,0,Voice Response,XXXXX,862,TRUE,
12277,C,1,14,14,Incongruent,BLUE,0,Voice Response,GREEN,924,TRUE,
12277,C,1,15,15,CW,YELLOW,0,Voice Response,BLUE,735,TRUE,
12277,C,1,16,16,Incongruent,GREEN,0,Voice Response,RED,967,TRUE,
12277,C,1,17,17,Double,RED,0,Voice Response,GREEN,1047,TRUE,
12277,C,1,18,18,Incongruent,BLUE,0,Voice Response,YELLOW,839,TRUE,
12277,C,1,19,19,Double,YELLOW,0,Voice Response,BLUE,796,TRUE,
12277,C,1,20,20,Incongruent,RED,0,Voice Response,GREEN,925,TRUE,
12277,C,1,21,21,WC,GREEN,0,Voice Response,YELLOW,921,TRUE,
12277,C,1,22,22,Incongruent,RED,0,Voice Response,BLUE,3040,TRUE,
12277,C,1,23,23,Double,BLUE,0,Voice Response,RED,910,TRUE,
12277,C,1,24,24,Neutral,YELLOW,0,Voice Response,XXXXX,729,TRUE,
12277,C,1,25,25,Neutral,BLUE,0,Voice Response,XXXXX,930,TRUE,
12277,C,1,26,26,Incongruent,YELLOW,0,Voice Response,RED,739,TRUE,
12277,C,1,27,27,Incongruent,BLUE,0,Voice Response,GREEN,1223,TRUE,
12277,C,1,28,28,Incongruent,RED,0,Voice Response,YELLOW,859,TRUE,
12277,C,1,29,29,WC,YELLOW,0,Voice Response,BLUE,860,TRUE,
12277,C,1,30,30,Incongruent,RED,0,Voice Response,GREEN,922,TRUE,
12277,C,1,31,31,Double,GREEN,0,Voice Response,RED,902,TRUE,
12277,C,1,32,32,Incongruent,BLUE,0,Voice Response,YELLOW,975,TRUE,
12277,C,1,33,33,Incongruent,GREEN,0,Voice Response,RED,790,TRUE,
12277,C,1,34,34,Incongruent,YELLOW,0,Voice Response,BLUE,1925,TRUE,
12277,C,1,35,35,Incongruent,RED,0,Voice Response,GREEN,1047,TRUE,
12277,C,1,36,36,Neutral,BLUE,0,Voice Response,XXXXX,1092,TRUE,
12277,C,1,37,37,Neutral,YELLOW,0,Voice Response,XXXXX,739,TRUE,
12277,C,1,38,38,Incongruent,GREEN,0,Voice Response,RED,787,TRUE,
12277,C,1,39,39,Incongruent,YELLOW,0,Voice Response,BLUE,855,TRUE,
12277,C,1,40,40,WC,BLUE,0,Voice Response,GREEN,1110,TRUE,
12277,C,1,41,41,Incongruent,YELLOW,0,Voice Response,RED,1165,TRUE,
12277,C,1,42,42,WC,RED,0,Voice Response,BLUE,792,TRUE,
12277,C,1,43,43,Incongruent,YELLOW,0,Voice Response,GREEN,789,TRUE,
12277,C,1,44,44,Incongruent,BLUE,0,Voice Response,RED,796,TRUE,
12277,C,1,45,45,CW,GREEN,0,Voice Response,BLUE,1485,TRUE,
12277,C,1,46,46,Incongruent,YELLOW,0,Voice Response,RED,899,TRUE,
12277,C,1,47,47,CW,BLUE,0,Voice Response,YELLOW,1227,TRUE,
12277,C,1,48,48,Incongruent,RED,0,Voice Response,GREEN,1046,TRUE,
12277,C,1,49,49,CW,BLUE,0,Voice Response,RED,926,TRUE,
12277,C,1,50,50,Neutral,YELLOW,0,Voice Response,XXXXX,800,TRUE,
12277,C,1,51,51,Incongruent,RED,0,Voice Response,GREEN,973,TRUE,
12277,C,1,52,52,Neutral,BLUE,0,Voice Response,XXXXX,981,TRUE,
12277,C,1,53,53,Neutral,GREEN,0,Voice Response,XXXXX,2281,TRUE,
12277,C,1,54,54,Incongruent,YELLOW,0,Voice Response,RED,977,TRUE,
12277,C,1,55,55,CW,GREEN,0,Voice Response,YELLOW,1988,TRUE,
12277,C,1,56,56,Incongruent,RED,0,Voice Response,BLUE,1043,TRUE,
12277,C,1,57,57,WC,BLUE,0,Voice Response,GREEN,923,TRUE,
12277,C,1,58,58,Incongruent,RED,0,Voice Response,YELLOW,862,TRUE,
12277,C,1,59,59,Incongruent,BLUE,0,Voice Response,GREEN,1013,TRUE,
12277,C,1,60,60,Double,GREEN,0,Voice Response,BLUE,1482,TRUE,
12277,C,1,61,61,Neutral,RED,0,Voice Response,XXXXX,914,TRUE,
12277,C,1,62,62,Neutral,GREEN,0,Voice Response,XXXXX,2159,TRUE,
12277,C,1,63,63,Block,None,57,SPACE,Press Spacebar,2262,TRUE,
12277,C,1,64,64,Neutral,BLUE,0,Voice Response,XXXXX,825,TRUE,
12277,C,1,65,65,Neutral,YELLOW,0,Voice Response,XXXXX,790,TRUE,
12277,C,1,66,66,Neutral,RED,0,Voice Response,XXXXX,857,TRUE,
12277,C,1,67,67,Neutral,BLUE,0,Voice Response,XXXXX,799,TRUE,
12277,C,1,68,68,Incongruent,RED,0,Voice Response,GREEN,779,TRUE,
12277,C,1,69,69,Incongruent,BLUE,0,Voice Response,YELLOW,1072,TRUE,
12277,C,1,70,70,Incongruent,RED,0,Voice Response,GREEN,965,TRUE,
